"x","life_expectancy_at_birth","life_expectancy_at_birth_2","neonatal_mortality_rate","neonatal_mortality_rate_2","infant_mortality_rate","infant_mortality_rate_2","under_five_mortality_rate","under_five_mortality_rate_2","under_five_mortality_rate_3","under_five_mortality_rate_4","adult_mortality_rate","adult_mortality_rate_2","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Korea, Dem. People's Rep.","70","73","22","8","33","10","43","15","17","14","181","108"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Korea, Rep.","72","84","7","1","13","3","16","3","3","3","72","32"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kosovo","71","77","44","8","88","9","105","10","11","9","107","56"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kuwait","73","79","10","5","15","8","18","9","10","8","85","43"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kyrgyz Republic","68","72","24","12","54","16","65","17","19","15","271","115"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lao PDR","54","68","48","21","106","34","154","43","47","38","194","139"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latvia","69","73","8","2","13","3","17","4","4","3","211","85"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lebanon","64","75","20","5","27","7","32","8","9","8","90","60"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lesotho","59","53","39","35","68","57","85","73","79","66","504","394"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liberia","37","61","60","30","176","57","264","76","82","70","304","259"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Libya","69","72","21","6","36","9","42","11","12","10","190","118"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liechtenstein","..","84","..","..","..","..","..","..","..","..","..",".."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lithuania","71","74","8","2","12","3","15","3","4","3","224","83"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luxembourg","75","83","4","2","7","2","9","3","3","3","69","37"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Madagascar","52","64","39","24","96","45","156","66","71","61","257","185"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malawi","43","63","51","19","143","31","245","42","46","37","384","238"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malaysia","71","75","8","4","14","7","17","8","8","7","144","73"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maldives","64","80","39","4","63","5","86","6","7","5","58","41"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mali","47","59","67","33","120","62","231","97","102","92","313","257"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malta","76","83","8","4","10","5","11","6","6","5","49","24"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marshall Islands","62","65","18","14","38","25","48","30","33","26","294","241"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mauritania","60","64","45","23","71","32","117","41","45","36","233","180"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mauritius","69","74","15","11","20","15","23","17","18","15","199","101"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mexico","70","70","22","8","36","11","45","13","15","12","283","141"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micronesia, Fed. Sts.","67","71","24","13","39","21","49","25","28","22","220","107"
